suggerisco suggerisci suggerisce suggeriamo suggerite suggeriscono 
faccio fai fa faciamo facete facciono 
sembro sembri sembra sembriamo sembrate sembrano 
gommo gommi gomma gommiamo gommate gommano 
como comi come comiamo comete comono 
cero ceri cera ceriamo cerate cerano 
detto detti detta dettiamo dettate dettano 
devo devi deve dobbiamo dovete debbono 
piango piangi piange piangiamo piangete piangono 
spingo spingi spinge spingiamo spingete spingono 
poso posi posa posiamo posate posano 
bocco bocchi bocca bocchiamo boccate boccano 
mischio mischi mischia mischiamo mischiate mischiano 
cero ceri cera ceriamo cerate cerano 
sono sei è siamo siete sono 
lavo lavi lava laviamo lavate lavano 
bocco bocchi bocca bocchiamo boccate boccano 
sono sei è siamo siete sono 
vivo vivi vive viviamo vivete vivono 
voglio vuoi vuole vogliamo volete vogliono 
unizzo unizzi unizza unizziamo unizzate unizzano 
graffio graffi graffia graffiamo graffiate graffiano 
buco buchi buca buchiamo bucate bucano 
aiuto aiuti aiuta aiutiamo aiutate aiutano 
prendo prendi prende prendiamo prendete prendono 
sono sei è siamo siete sono 
affaccio affacci affaccia affacciamo affacciate affacciano 
fondo fondi fonda fondiamo fondate fondano 
veggo vedi vede vediamo vedete vedono 
staglio stagli staglia stagliamo stagliate stagliano 
como comi come comiamo comete comono 
segreto segreti segreta segretiamo segretate segretano 
sono sei è siamo siete sono 
dò dai da diamo date danno 
occo occhi occa occhiamo occate occano 
chiudo chiudi chiude chiudiamo chiudete chiudono 
passo passi passa passiamo passate passano 
sono sei è siamo siete sono 
alzo alzi alza alziamo alzate alzano 
voglio vuoi vuole vogliamo volete vogliono 
approvvigiono approvvigioni approvvigiona approvvigioniamo approvvigionate approvvigionano 
porto porti porta portiamo portate portano 
sono sei è siamo siete sono 
tavolo tavoli tavola tavoliamo tavolate tavolano 
dico dici dice diciamo dicete dicono 
vengo vieni viene veniamo venite vengono 
noio noi noia noiamo noiate noiano 
mangio mangi mangia mangiamo mangiate mangiano 
piatto piatti piatta piattiamo piattate piattano 
raggio raggi raggia raggiamo raggiate raggiano 
luno luni luna luniamo lunate lunano 
cado cadi cade cadiamo cadete cadono 
fioro fiori fiora fioriamo fiorate fiorano 
piatto piatti piatta piattiamo piattate piattano 
bianco bianchi bianca bianchiamo biancate biancano 
pavimento pavimenti pavimenta pavimentiamo pavimentate pavimentano 
bianco bianchi bianca bianchiamo biancate biancano 
faccio fai fa faciamo facete facciono 
mammo mammi mamma mammiamo mammate mammano 
lego legi lege legiamo legete legono 
veggo vedi vede vediamo vedete vedono 
apro apri apre apriamo aprite aprono 
frigorifero frigoriferi frigorifera frigoriferiamo frigoriferate frigoriferano 
tiro tiri tira tiriamo tirate tirano 
freddo freddi fredda freddiamo freddate freddano 
sono sei è siamo siete sono 
attacco attacchi attacca attacchiamo attaccate attaccano 
riempio riempi riempie riempiamo riempiete riempiono 
sono sei è siamo siete sono 
bevo bevi beve beviamo bevete bevono 
sorso sorsi sorsa sorsiamo sorsate sorsano 
dormo dormi dorme dormiamo dormite dormono 
faccio fai fa faciamo facete facciono 
pongo poni pone poniamo ponete pongono 
so sai sa sappiamo sapete sanno 
vado vai va andiamo andate vanno 
abbasso abbassi abbassa abbassiamo abbassate abbassano 
devo devi deve dobbiamo dovete debbono 
falseggio falseggi falseggia falseggiamo falseggiate falseggiano 
faccio fai fa faciamo facete facciono 
tolgo togli toglie togliamo togliete tolgono 
chiudo chiudi chiude chiudiamo chiudete chiudono 
sono sei è siamo siete sono 
rimango rimani rimane rimaniamo rimanete rimangono 
occo occhi occa occhiamo occate occano 
soffitto soffitti soffitta soffittiamo soffittate soffittano 
ripartisco ripartisci ripartisce ripartiamo ripartite ripartiscono 
torno torni torna torniamo tornate tornano 
resetto resetti resetta resettiamo resettate resettano 
detto detti detta dettiamo dettate dettano 
mammo mammi mamma mammiamo mammate mammano 
voglio vuoi vuole vogliamo volete vogliono 
vanvereggio vanvereggi vanvereggia vanvereggiamo vanvereggiate vanvereggiano 
sono sei è siamo siete sono 
occupo occupi occupa occupiamo occupate occupano 
porto porti porta portiamo portate portano 
falseggio falseggi falseggia falseggiamo falseggiate falseggiano 
bagno bagni bagna bagniamo bagnate bagnano 
sono sei è siamo siete sono 
sveglio svegli sveglia svegliamo svegliate svegliano 
mammo mammi mamma mammiamo mammate mammano 
dormo dormi dorme dormiamo dormite dormono 
ancoro ancori ancora ancoriamo ancorate ancorano 
butto butti butta buttiamo buttate buttano 
prendo prendi prende prendiamo prendete prendono 
bicicletto bicicletti bicicletta biciclettiamo biciclettate biciclettano 
vado vai va andiamo andate vanno 
sono sei è siamo siete sono 
guardo guardi guarda guardiamo guardate guardano 
falseggio falseggi falseggia falseggiamo falseggiate falseggiano 
giro giri gira giriamo girate girano 
so sai sa sappiamo sapete sanno 
velgo velli velle velliamo vellete velgono 
so sai sa sappiamo sapete sanno 
vado vai va andiamo andate vanno 
vado vai va andiamo andate vanno 
mammo mammi mamma mammiamo mammate mammano 
chiedo chiedi chiede chiediamo chiedete chiedono 
sono sei è siamo siete sono 
vado vai va andiamo andate vanno 
falseggio falseggi falseggia falseggiamo falseggiate falseggiano 
giro giri gira giriamo girate girano 
torno torni torna torniamo tornate tornano 
subisco subisci subisce subiamo subite subiscono 
giorno giorni giorna giorniamo giornate giornano 
otto otti otta ottiamo ottate ottano 
mattino mattini mattina mattiniamo mattinate mattinano 
sono sei è siamo siete sono 
ancoro ancori ancora ancoriamo ancorate ancorano 
basso bassi bassa bassiamo bassate bassano 
arroganto arroganti arroganta arrogantiamo arrogantate arrogantano 
strado stradi strada stradiamo stradate stradano 
faccio fai fa faciamo facete facciono 
penso pensi pensa pensiamo pensate pensano 
pedalo pedali pedala pedaliamo pedalate pedalano 
cerco cerchi cerca cerchiamo cercate cercano 
arreto arreti arreta arretiamo arretate arretano 
presto presti presta prestiamo prestate prestano 
prendo prendi prende prendiamo prendete prendono 
campo campi campa campiamo campate campano 
costeggio costeggi costeggia costeggiamo costeggiate costeggiano 
grano grani grana graniamo granate granano 
sollevo sollevi solleva solleviamo sollevate sollevano 
loro lori lora loriamo lorate lorano 
inseguo insegui insegue inseguiamo inseguite inseguono 
litigo litighi litiga litighiamo litigate litigano 
insulto insulti insulta insultiamo insultate insultano 
stridulo striduli stridula striduliamo stridulate stridulano 
falco falchi falca falchiamo falcate falcano 
volteggio volteggi volteggia volteggiamo volteggiate volteggiano 
spingo spigni spigne spigniamo spignete spingono 
rosso rossi rossa rossiamo rossate rossano 
fatico fatichi fatica fatichiamo faticate faticano 
spingo spingi spinge spingiamo spingete spingono 
pedalo pedali pedala pedaliamo pedalate pedalano 
slitto slitti slitta slittiamo slittate slittano 
sasso sassi sassa sassiamo sassate sassano 
cresco cresci cresce cresciamo crescete crescono 
peso pesi pesa pesiamo pesate pesano 
petto petti petta pettiamo pettate pettano 
respiro respiri respira respiriamo respirate respirano 
arrivo arrivi arriva arriviamo arrivate arrivano 
riunisco riunisci riunisce riuniamo riunite riuniscono 
abbandono abbandoni abbandona abbandoniamo abbandonate abbandonano 
faccio fai fa faciamo facete facciono 
partecipo partecipi partecipa partecipiamo partecipate partecipano 
divento diventi diventa diventiamo diventate diventano 
mangio mangi mangia mangiamo mangiate mangiano 
stampello stampelli stampella stampelliamo stampellate stampellano 
attento attenti attenta attentiamo attentate attentano 
prendo prendi prende prendiamo prendete prendono 
butto butti butta buttiamo buttate buttano 
buco buchi buca buchiamo bucate bucano 
mangio mangi mangia mangiamo mangiate mangiano 
pezzo pezzi pezza pezziamo pezzate pezzano 
so sai sa sappiamo sapete sanno 
piango piagni piagne piagniamo piagnete piangono 
como comi come comiamo comete comono 
dispiaccio dispiaci dispiace dispiaciamo dispiacete dispiaciono 
vengo vieni viene veniamo venite vengono 
sono sei è siamo siete sono 
metto metti mette mettiamo mettete mettono 
piacio piaci piacia piaciamo piaciate piaciano 
voglio vuoi vuole vogliamo volete vogliono 
moro mori mora moriamo morate morano 
sono sei è siamo siete sono 
piaccio piaci piace piaciamo piacete piaciono 
devo devi deve dobbiamo dovete debbono 
anagrammatizzo anagrammatizzi anagrammatizza anagrammatizziamo anagrammatizzate anagrammatizzano 
sono sei è siamo siete sono 
impazzisco impazzisci impazzisce impazziamo impazzite impazziscono 
giro giri gira giriamo girate girano 
bicicletto bicicletti bicicletta biciclettiamo biciclettate biciclettano 
sono sei è siamo siete sono 
avvio avvii avvia avviamo avviate avviano 
verso versi versa versiamo versate versano 
freno freni frena freniamo frenate frenano 
faccio fai fa faciamo facete facciono 
pongo poni pone poniamo ponete pongono 
torno torni torna torniamo tornate tornano 
indietro indietri indietra indietriamo indietrate indietrano 
sono sei è siamo siete sono 
serio seri seria seriamo seriate seriano 
indio indi india indiamo indiate indiano 
salgo sali sale saliamo salite salgono 
sono sei è siamo siete sono 
indio indi india indiamo indiate indiano 
sono sei è siamo siete sono 
como comi come comiamo comete comono 
so sai sa sappiamo sapete sanno 
ascendo ascendi ascende ascendiamo ascendete ascendono 
colludo colludi collude colludiamo colludete colludono 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
figlio figli figlia figliamo figliate figliano 
italiano italiani italiana italianiamo italianate italianano 
sono sei è siamo siete sono 
detto detti detta dettiamo dettate dettano 
arco archi arca archiamo arcate arcano 
nascondo nascondi nasconde nascondiamo nascondete nascondono 
bicicletto bicicletti bicicletta biciclettiamo biciclettate biciclettano 
como comi come comiamo comete comono 
faccio fai fa faciamo facete facciono 
cavallo cavalli cavalla cavalliamo cavallate cavallano 
sono sei è siamo siete sono 
infilo infili infila infiliamo infilate infilano 
grano grani grana graniamo granate granano 
sono sei è siamo siete sono 
avanzo avanzi avanza avanziamo avanzate avanzano 
fino fini fina finiamo finate finano 
sento senti sente sentiamo sentite sentono 
pezzo pezzi pezza pezziamo pezzate pezzano 
legno legni legna legniamo legnate legnano 
indolenzisco indolenzisci indolenzisce indolenziamo indolenzite indolenziscono 
comincio cominci comincia cominciamo cominciate cominciano 
como comi come comiamo comete comono 
fagiano fagiani fagiana fagianiamo fagianate fagianano 
destro destri destra destriamo destrate destrano 
sinistro sinistri sinistra sinistriamo sinistrate sinistrano 
sono sei è siamo siete sono 
arrivo arrivi arriva arriviamo arrivate arrivano 
sono sei è siamo siete sono 
rimango rimani rimane rimaniamo rimanete rimangono 
minuto minuti minuta minutiamo minutate minutano 
riposo riposi riposa riposiamo riposate riposano 
spalmo spalmi spalma spalmiamo spalmate spalmano 
contro contri contra contriamo contrate contrano 
tronco tronchi tronca tronchiamo troncate troncano 
dò dai da diamo date danno 
albero alberi albera alberiamo alberate alberano 
como comi come comiamo comete comono 
drizzo drizzi drizza drizziamo drizzate drizzano 
sospetto sospetti sospetta sospettiamo sospettate sospettano 
sento senti sente sentiamo sentite sentono 
solo soli sola soliamo solate solano 
pulso pulsi pulsa pulsiamo pulsate pulsano 
spio spii spia spiamo spiate spiano 
tranquillo tranquilli tranquilla tranquilliamo tranquillate tranquillano 
sembro sembri sembra sembriamo sembrate sembrano 
cambio cambi cambia cambiamo cambiate cambiano 
passo passi passa passiamo passate passano 
rimetto rimetti rimette rimettiamo rimettete rimettono 
pongo poni pone poniamo ponete pongono 
sono sei è siamo siete sono 
infilo infili infila infiliamo infilate infilano 
sono sei è siamo siete sono 
ritrovo ritrovi ritrova ritroviamo ritrovate ritrovano 
lastro lastri lastra lastriamo lastrate lastrano 
sto stai sta stiamo state stanno 
buco buchi buca buchiamo bucate bucano 
riesco riesci riesce riusciamo riuscite riescono 
pieno pieni piena pieniamo pienate pienano 
puzzo puzzi puzza puzziamo puzzate puzzano 
nauseo nausei nausea nauseiamo nauseate nauseano 
sono sei è siamo siete sono 
inginocchio inginocchi inginocchia inginocchiamo inginocchiate inginocchiano 
bordo bordi borda bordiamo bordate bordano 
vivo vivi vive viviamo vivete vivono 
vivo vivi vive viviamo vivete vivono 
sento senti senta sentiamo sentate sentano 
aspetto aspetti aspetta aspettiamo aspettate aspettano 
prendo prendi prende prendiamo prendete prendono 
sasso sassi sassa sassiamo sassate sassano 
tiro tiri tira tiriamo tirate tirano 
sono sei è siamo siete sono 
muovo muovi muove m(u)oviamo m(u)ovete muovono 
millimetro millimetri millimetra millimetriamo millimetrate millimetrano 
moro mori more moriamo morete morono 
dò dai da diamo date danno 
sono sei è siamo siete sono 
sollevo sollevi solleva solleviamo sollevate sollevano 
solo soli sola soliamo solate solano 
sono sei è siamo siete sono 
moro mori more moriamo morete morono 
faccio fai fa faciamo facete facciono 
pelo peli pela peliamo pelate pelano 
nascondo nascondi nasconde nascondiamo nascondete nascondono 
bianco bianchi bianca bianchiamo biancate biancano 
butto butti butta buttiamo buttate buttano 
dò dai da diamo date danno 
parto parti parte partiamo partite partono 
testo testi testa testiamo testate testano 
contro contri contra contriamo contrate contrano 
paio pari pare paiamo parete paiono 
faccio fai fa faciamo facete facciono 
ribrezzo ribrezzi ribrezza ribrezziamo ribrezzate ribrezzano 
vito viti vita vitiamo vitate vitano 
buco buchi buca buchiamo bucate bucano 
sperdo sperdi sperde sperdiamo sperdete sperdono 
umano umani umana umaniamo umanate umanano 
faccio fai fa faciamo facete facciono 
faccio fai fa faciamo facete facciono 
sono sei è siamo siete sono 
coso cosi cosa cosiamo cosate cosano 
importo importi importa importiamo importate importano 
faccio fai fa faciamo facete facciono 
capisco capisci capisce capiamo capite capiscono 
scavigliare scavitolare scavizzolare scazzare scazzeggiare scazzottare 
faccio fai fa faciamo facete facciono 
pauro pauri paura pauriamo paurate paurano 
mazzo mazzi mazza mazziamo mazzate mazzano 
voglio vuoi vuole vogliamo volete vogliono 
mazzo mazzi mazza mazziamo mazzate mazzano 
bello belli bella belliamo bellate bellano 
stallo stalli stalla stalliamo stallate stallano 
trovo trovi trova troviamo trovate trovano 
palo pali pala paliamo palate palano 
sono sei è siamo siete sono 
affaccio affacci affaccia affacciamo affacciate affacciano 
provo provi prova proviamo provate provano 
sono sei è siamo siete sono 
resisto resisti resiste resistiamo resistete resistono 
porto porti porta portiamo portate portano 
sono sei è siamo siete sono 
arrampico arrampichi arrampica arrampichiamo arrampicate arrampicano 
testo testi testa testiamo testate testano 
sono sei è siamo siete sono 
infilo infili infila infiliamo infilate infilano 
paio pari pare paiamo parete paiono 
passo passi passa passiamo passate passano 
sono sei è siamo siete sono 
ritrovo ritrovi ritrova ritroviamo ritrovate ritrovano 
veggo vedi vede vediamo vedete vedono 
attraverso attraversi attraversa attraversiamo attraversate attraversano 
pacco pacchi pacca pacchiamo paccate paccano 
resto resti resta restiamo restate restano 
pieno pieni piena pieniamo pienate pienano 
cestino cestini cestina cestiniamo cestinate cestinano 
giorno giorni giorna giorniamo giornate giornano 
sono sei è siamo siete sono 
como comi come comiamo comete comono 
coperto coperti coperta copertiamo copertate copertano 
trovo trovi trova troviamo trovate trovano 
cordo cordi corda cordiamo cordate cordano 
finisco finisci finisce finiamo finite finiscono 
uncino uncini uncina unciniamo uncinate uncinano 
posso puoi può possiamo possete possono 
anagrammatizzo anagrammatizzi anagrammatizza anagrammatizziamo anagrammatizzate anagrammatizzano 
penso pensi pensa pensiamo pensate pensano 
sono sei è siamo siete sono 
esco esci esce usciamo uscite escono 
arrugginisco arrugginisci arrugginisce arrugginiamo arrugginite arrugginiscono 
lego leghi lega leghiamo legate legano 
intorno intorni intorna intorniamo intornate intornano 
cordo cordi corda cordiamo cordate cordano 
pauro pauri paura pauriamo paurate paurano 
sciolgo sciogli scioglie sciogliamo sciogliete sciolgono 
rimango rimani rimane rimaniamo rimanete rimangono 
buco buchi buca buchiamo bucate bucano 
moro mori more moriamo morete morono 
faccio fai fa faciamo facete facciono 
como comi come comiamo comete comono 
faccio fai fa faciamo facete facciono 
tiro tiri tira tiriamo tirate tirano 
forzo forzi forza forziamo forzate forzano 
resisto resisti resiste resistiamo resistete resistono 
buco buchi buca buchiamo bucate bucano 
pauro pauri paura pauriamo paurate paurano 
sussurro sussurri sussurra sussurriamo sussurrate sussurrano 
cedo cedi cede cediamo cedete cedono 
anagrammatizzo anagrammatizzi anagrammatizza anagrammatizziamo anagrammatizzate anagrammatizzano 
moro mori more moriamo morete morono 
fò fai fa facciamo fate fanno 
sono sei è siamo siete sono 
detto detti detta dettiamo dettate dettano 
sono sei è siamo siete sono 
faccio fai fa faciamo facete facciono 
sono sei è siamo siete sono 
scendo scendi scende scendiamo scendete scendono 
faccio fai fa faciamo facete facciono 
freddo freddi fredda freddiamo freddate freddano 
moro mori more moriamo morete morono 
sono sei è siamo siete sono 
nudo nudi nuda nudiamo nudate nudano 
como comi come comiamo comete comono 
sporgo sporgi sporge sporgiamo sporgete sporgono 
autolimitare automaticizzare automatizzare automigliorare automizzare autonomizzare 
meno meni mena meniamo menate menano 
tocco tocchi tocca tocchiamo toccate toccano 
punto punti punta puntiamo puntate puntano 
sono sei è siamo siete sono 
vito viti vita vitiamo vitate vitano 
sollevo sollevi solleva solleviamo sollevate sollevano 
coperto coperti coperta copertiamo copertate copertano 
copro copri copre copriamo coprite coprono 
destro destri destra destriamo destrate destrano 
cateno cateni catena cateniamo catenate catenano 
lucchetto lucchetti lucchetta lucchettiamo lucchettate lucchettano 
sono sei è siamo siete sono 
roso rosi rosa rosiamo rosate rosano 
denso densi densa densiamo densate densano 
trasudo trasudi trasuda trasudiamo trasudate trasudano 
colo coli cola coliamo colate colano 
cateno cateni catena cateniamo catenate catenano 
anello anelli anella anelliamo anellate anellano 
interro interri interra interriamo interrate interrano 
faccio fai fa faciamo facete facciono 
voglio vuoi vuole vogliamo volete vogliono 
testo testi testa testiamo testate testano 
faccio fai fa faciamo facete facciono 
tentenno tentenni tentenna tentenniamo tentennate tentennano 
allungo allunghi allunga allunghiamo allungate allungano 
afferro afferri afferra afferriamo afferrate afferrano 
coperto coperti coperta copertiamo copertate copertano 
sto stai sta stiamo state stanno 
cerco cerchi cerca cerchiamo cercate cercano 
viso visi visa visiamo visate visano 
moro mori more moriamo morete morono 
piego pieghi piega pieghiamo piegate piegano 
stringo stringi stringe stringiamo stringete stringono 
pugno pugni pugna pugniamo pugnate pugnano 
spalanco spalanchi spalanca spalanchiamo spalancate spalancano 
bocco bocchi bocca bocchiamo boccate boccano 
afferro afferri afferra afferriamo afferrate afferrano 
moro mori more moriamo morete morono 
sollevo sollevi solleva solleviamo sollevate sollevano 
como comi come comiamo comete comono 
sono sei è siamo siete sono 
vivo vivi vive viviamo vivete vivono 
allungo allunghi allunga allunghiamo allungate allungano 
verso versi versa versiamo versate versano 
sono sei è siamo siete sono 
testo testi testa testiamo testate testano 
caccio cacci caccia cacciamo cacciate cacciano 
urlo urli urla urliamo urlate urlano 
salto salti salta saltiamo saltate saltano 
indietro indietri indietra indietriamo indietrate indietrano 
sono sei è siamo siete sono 
inciampo inciampi inciampa inciampiamo inciampate inciampano 
sono sei è siamo siete sono 
finisco finisci finisce finiamo finite finiscono 
schieno schieni schiena schieniamo schienate schienano 
urlo urli urla urliamo urlate urlano 
moro mori more moriamo morete morono 
comincio cominci comincia cominciamo cominciate cominciano 
uniformo uniformi uniforma uniformiamo uniformate uniformano 
sono sei è siamo siete sono 
dimeno dimeni dimena dimeniamo dimenate dimenano 
dispero disperi dispera disperiamo disperate disperano 
prendo prendi prende prendiamo prendete prendono 
cordo cordi corda cordiamo cordate cordano 
sono sei è siamo siete sono 
schizzo schizzi schizza schizziamo schizzate schizzano 
buco buchi buca buchiamo bucate bucano 
como comi come comiamo comete comono 
infilo infili infila infiliamo infilate infilano 
rischio rischi rischia rischiamo rischiate rischiano 
schieno schieni schiena schieniamo schienate schienano 
freno freni frena freniamo frenate frenano 
esplodo esplodi esplode esplodiamo esplodete esplodono 
brucio bruci brucia bruciamo bruciate bruciano 
prendo prendi prende prendiamo prendete prendono 
sono sei è siamo siete sono 
ritrovo ritrovi ritrova ritroviamo ritrovate ritrovano 
atterro atterri atterra atterriamo atterrate atterrano 
struscio strusci struscia strusciamo strusciate strusciano 
tifo tifi tifa tifiamo tifate tifano 
freno freni frena freniamo frenate frenano 
sono sei è siamo siete sono 
ruoto ruoti ruota ruotiamo ruotate ruotano 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
scivolo scivoli scivola scivoliamo scivolate scivolano 
lato lati late latiamo latete latono 
strado stradi strada stradiamo stradate stradano 
sono sei è siamo siete sono 
rimetto rimetti rimette rimettiamo rimettete rimettono 
tremo tremi trema tremiamo tremate tremano 
sono sei è siamo siete sono 
guardo guardi guarda guardiamo guardate guardano 
sono sei è siamo siete sono 
sbuccio sbucci sbuccia sbucciamo sbucciate sbucciano 
maglietto maglietti maglietta magliettiamo magliettate magliettano 
sono sei è siamo siete sono 
sporco sporchi sporca sporchiamo sporcate sporcano 
striscio strisci striscia strisciamo strisciate strisciano 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
detto detti detta dettiamo dettate dettano 
sento senti sente sentiamo sentite sentono 
fiato fiati fiata fiatiamo fiatate fiatano 
tonneggio tonneggi tonneggia tonneggiamo tonneggiate tonneggiano 
sono sei è siamo siete sono 
vengo vieni viene veniamo venite vengono 
sono sei è siamo siete sono 
sdraio sdrai sdraia sdraiamo sdraiate sdraiano 
chiudo chiudi chiude chiudiamo chiudete chiudono 
occo occhi occa occhiamo occate occano 
sono sei è siamo siete sono 
rosso rossi rossa rossiamo rossate rossano 
ancoro ancori ancora ancoriamo ancorate ancorano 
sono sei è siamo siete sono 
appeno appeni appena appeniamo appenate appenano 
fondo fondi fonda fondiamo fondate fondano 
scaldo scaldi scalda scaldiamo scaldate scaldano 
grillo grilli grilla grilliamo grillate grillano 
strillo strilli strilla strilliamo strillate strillano 
pulso pulsi pulsa pulsiamo pulsate pulsano 
riapro riapri riapre riapriamo riaprite riaprono 
occo occhi occa occhiamo occate occano 
cammino cammini cammina camminiamo camminate camminano 
addosso addossi addossa addossiamo addossate addossano 
dormo dormi dorme dormiamo dormite dormono 
esprobro esprobri esprobra esprobriamo esprobrate esprobrano 
salgo sali sale saliamo salite salgono 
riprendo riprendi riprende riprendiamo riprendete riprendono 
strado stradi strada stradiamo stradate stradano 
pedalo pedali pedala pedaliamo pedalate pedalano 
continuo continui continua continuiamo continuate continuano 
vanvereggio vanvereggi vanvereggia vanvereggiamo vanvereggiate vanvereggiano 
moro mori more moriamo morete morono 
sollevo sollevi solleva solleviamo sollevate sollevano 
stendo stendi stende stendiamo stendete stendono 
mango mani mane maniamo manete mangono 
verso versi versa versiamo versate versano 
faccio fai fa faciamo facete facciono 
occo occhi occa occhiamo occate occano 
chiudo chiudi chiude chiudiamo chiudete chiudono 
bocco bocchi bocca bocchiamo boccate boccano 
continuo continui continua continuiamo continuate continuano 
appaio appari appare appariamo apparite appaiono 
como comi come comiamo comete comono 
incubo incubi incuba incubiamo incubate incubano 
forzo forzi forza forziamo forzate forzano 
vivo vivi vive viviamo vivete vivono 
faccio fai fa faciamo facete facciono 
finto finti finta fintiamo fintate fintano 
esprobro esprobri esprobra esprobriamo esprobrate esprobrano 
moro mori more moriamo morete morono 
sono sei è siamo siete sono 
malo mali mala maliamo malate malano 
sono sei è siamo siete sono 
mostro mostri mostra mostriamo mostrate mostrano 
divento diventi diventa diventiamo diventate diventano 
tengo tieni tiene teniamo tenete tengono 
incateno incateni incatena incateniamo incatenate incatenano 
sono sei è siamo siete sono 
veggo vedi vede vediamo vedete vedono 
— — notta — — — 
luno luni luna luniamo lunate lunano 
pieno pieni piena pieniamo pienate pienano 
trasformo trasformi trasforma trasformiamo trasformate trasformano 
assalgo assali assale assaliamo assalite assalgono 
preparo prepari prepara prepariamo preparate preparano 
trappolo trappoli trappola trappoliamo trappolate trappolano 
sparo spari spara spariamo sparate sparano 
muoio muori muore moriamo morite muoiono 
sono sei è siamo siete sono 
figlio figli figlia figliamo figliate figliano 
tengo tieni tiene teniamo tenete tengono 
incateno incateni incatena incateniamo incatenate incatenano 
lastro lastri lastra lastriamo lastrate lastrano 
coperto coperti coperta copertiamo copertate copertano 
raggio raggi raggia raggiamo raggiate raggiano 
luno luni luna luniamo lunate lunano 
posso puoi può possiamo possete possono 
cucicchio cucicchi cucicchia cucicchiamo cucicchiate cucicchiano 
esisto esisti esiste esistiamo esistete esistono 
mostro mostri mostra mostriamo mostrate mostrano 
mostro mostri mostra mostriamo mostrate mostrano 
esisto esisti esiste esistiamo esistete esistono 
sono sei è siamo siete sono 
metallizzo metallizzi metallizza metallizziamo metallizzate metallizzano 
pauro pauri paura pauriamo paurate paurano 
como comi come comiamo comete comono 
autolimitare automaticizzare automatizzare automigliorare automizzare autonomizzare 
pauro pauri paura pauriamo paurate paurano 
mostro mostri mostra mostriamo mostrate mostrano 
detto detti detta dettiamo dettate dettano 
chiedo chiedi chiede chiediamo chiedete chiedono 
mostro mostri mostra mostriamo mostrate mostrano 
posso puoi può possiamo potete possono 
rescrivo rescrivi rescrive rescriviamo rescrivete rescrivono 
nascondo nascondi nasconde nascondiamo nascondete nascondono 
devo devi deve dobbiamo dovete debbono 
esprobro esprobri esprobra esprobriamo esprobrate esprobrano 
spiego spieghi spiega spieghiamo spiegate spiegano 
spingo spigni spigne spigniamo spignete spingono 
porto porti porta portiamo portate portano 
sono sei è siamo siete sono 
devo devi deve dobbiamo dovete debbono 
diposito dipositi diposita dipositiamo dipositate dipositano 
resto resti resta restiamo restate restano 
sono sei è siamo siete sono 
spengo spegni spegne spegniamo spegnete spengono 
mango mani mane maniamo manete mangono 
occo occhi occa occhiamo occate occano 
dò dai da diamo date danno 
peggioro peggiori peggiora peggioriamo peggiorate peggiorano 
occo occhi occa occhiamo occate occano 
dò dai da diamo date danno 
vanvereggio vanvereggi vanvereggia vanvereggiamo vanvereggiate vanvereggiano 
giorno giorni giorna giorniamo giornate giornano 
sono sei è siamo siete sono 
bevo bevi beve beviamo bevete bevono 
penso pensi pensa pensiamo pensate pensano 
sono sei è siamo siete sono 
schiaccio schiacci schiaccia schiacciamo schiacciate schiacciano 
cicco cicchi cicca cicchiamo ciccate ciccano 
sono sei è siamo siete sono 
crucifiggo crucifiggi crucifigge crucifiggiamo crucifiggete crucifiggono 
alzo alzi alza alziamo alzate alzano 
testo testi testa testiamo testate testano 
prendo prendi prende prendiamo prendete prendono 
naso nasi nasa nasiamo nasate nasano 
sono sei è siamo siete sono 
giorno giorni giorna giorniamo giornate giornano 
squadro squadri squadra squadriamo squadrate squadrano 
dò dai da diamo date danno 
capo capi capa capiamo capate capano 
cazzo cazzi cazza cazziamo cazzate cazzano 
sono sei è siamo siete sono 
rotolo rotoli rotola rotoliamo rotolate rotolano 
faccio fai fa faciamo facete facciono 
smorfio smorfi smorfia smorfiamo smorfiate smorfiano 
como comi come comiamo comete comono 
rompo rompi rompe rompiamo rompete rompono 
guardo guardi guarda guardiamo guardate guardano 
so sai sa sappiamo sapete sanno 
sono sei è siamo siete sono 
rimango rimani rimane rimaniamo rimanete rimangono 
silenzio silenzi silenzia silenziamo silenziate silenziano 
dico dichi dica dichiamo dicate dicano 
— — venta — — — 
pranzo pranzi pranza pranziamo pranzate pranzano 
sono sei è siamo siete sono 
faccio fai fa faciamo facete facciono 
vanvereggio vanvereggi vanvereggia vanvereggiamo vanvereggiate vanvereggiano 
so sai sa sappiamo sapete sanno 
sto stai sta stiamo state stanno 
sono sei è siamo siete sono 
vado vai va andiamo andate vanno 
liscio lisci liscia lisciamo lisciate lisciano 
sono sei è siamo siete sono 
infurio infuri infuria infuriamo infuriate infuriano 
urlo urli urla urliamo urlate urlano 
parlo parli parla parliamo parlate parlano 
terrorizzo terrorizzi terrorizza terrorizziamo terrorizzate terrorizzano 
sopporto sopporti sopporta sopportiamo sopportate sopportano 
sfogo sfoghi sfoga sfoghiamo sfogate sfogano 
loro lori lora loriamo lorate lorano 
indico indichi indica indichiamo indicate indicano 
porto porti porta portiamo portate portano 
